code,name,series,element,tagemoji,tagname,wishlist,gen,owner,fought,frame,custom_frame,3D,morph,glow,bg,attack,defense,speed,hp,moves
nlzh9b,Easthies,Witch Hat Atelier,metal,N/A,N/A,4,752,N/A,N/A,0,N/A,false,false,N/A,N/A,53,44,47,253,"Mys, Alm"
nlz888,Tooru Kikuchi,Nodame Cantabile,earth,N/A,N/A,0,1008,N/A,N/A,0,N/A,false,false,N/A,N/A,57,53,47,234,"Bli, Bod"
nlyyvf,Jisoo,Lovelyz,wood,N/A,N/A,4,971,N/A,N/A,0,N/A,false,false,N/A,N/A,40,45,53,300,"Sha, Dru"
nlyutl,Yuri Yamamoto,Bokura ga Ita,void,N/A,N/A,0,1273,N/A,N/A,0,N/A,false,false,N/A,N/A,46,52,52,273,"Tim, Hol"
nlyqi2,Muse,Amagi Brilliant Park,light,N/A,N/A,1,688,N/A,N/A,0,N/A,false,false,N/A,N/A,54,53,54,248,"Ven, Tau"
nlyhd8,Kinessa,Paladins,fire,N/A,N/A,0,1343,N/A,N/A,0,N/A,false,false,N/A,N/A,47,52,69,319,"Har, Dra"
nlya20,Ningning,Aespa,wood,N/A,N/A,129,856,N/A,N/A,0,N/A,false,false,N/A,N/A,55,44,55,245,"Vor, Mys"
nly8g2,Katsuma Shimano,My Hero Academia: Heroes Rising,void,N/A,N/A,5,991,N/A,N/A,0,N/A,false,false,N/A,N/A,50,49,48,254,"Rot, Und"
nly76u,Hyeju,CLASS:y,wind,N/A,N/A,4,765,N/A,N/A,0,N/A,false,false,N/A,N/A,48,60,46,301,"Dru, Hol"
nly2ql,Fudge,Lore Olympus,metal,N/A,N/A,0,973,N/A,N/A,0,N/A,false,false,N/A,N/A,42,53,40,283,"Ato, Tim"
nlxwzm,Katsumi Tonegawa,Hinamizawa Bus Stop,light,N/A,N/A,0,887,N/A,N/A,0,N/A,false,false,N/A,N/A,42,51,77,237,"Vis, Bli"
nlxvzw,Okina Otogi,Nanbaka,wood,N/A,N/A,1,638,N/A,N/A,0,N/A,false,false,N/A,N/A,46,54,41,275,"Bod, Ato"
nlxtx2,Sojourn,Overwatch,metal,N/A,N/A,2,1256,N/A,N/A,0,N/A,false,false,N/A,N/A,42,72,58,249,"Mys, Tau"
nlxq2v,Silverfish,Minecraft,wind,N/A,N/A,1,1713,N/A,N/A,0,N/A,false,false,N/A,N/A,51,51,48,247,"Ser, Hyp"
nlxj2k,Bruce,Beyblade,earth,N/A,N/A,0,871,N/A,N/A,0,N/A,false,false,N/A,N/A,49,52,50,299,"Out, Rot"
nlvgvw,Demeter,Hades,metal,N/A,N/A,3,984,N/A,N/A,0,N/A,false,false,N/A,N/A,58,52,52,289,"Sha, Pur"
nlve43,Yusa,Angel Beats!,wind,N/A,N/A,1,726,N/A,N/A,0,N/A,false,false,N/A,N/A,58,54,45,270,"Alm, Rot"
nlvc1h,Ryobi,Senran Kagura: Shinovi Versus,fire,N/A,N/A,7,1431,N/A,N/A,0,N/A,false,false,N/A,N/A,48,45,74,251,"Har, Pur"
nlv4ym,Velma,Animal Crossing: New Horizons,metal,N/A,N/A,1,818,N/A,N/A,0,N/A,false,false,N/A,N/A,58,48,49,255,"Spi, Und"
nlv3gn,Ramu Tatakudo,Hitoribocchi no Marumaru Seikatsu,fire,N/A,N/A,1,308,N/A,N/A,0,N/A,false,false,N/A,N/A,56,48,56,231,"Dra, Rot"
nlv1vr,Nolan,Fire Emblem: Radiant Dawn,light,N/A,N/A,0,548,N/A,N/A,0,N/A,false,false,N/A,N/A,59,58,45,299,"Nec, Ser"
nluz3w,Summer Rose,RWBY,fire,N/A,N/A,8,369,N/A,N/A,0,N/A,false,false,N/A,N/A,46,43,56,242,"Alm, Ato"
nlu9ux,Zo,Tokyo Afterschool Summoners,metal,N/A,N/A,0,784,N/A,N/A,0,N/A,false,false,N/A,N/A,50,50,60,261,"Tem, Eth"
nlu7uy,Sayu,Genshin Impact,fire,N/A,N/A,65,880,N/A,N/A,0,N/A,false,false,N/A,N/A,56,42,60,231,"Roc, Tim"
nltrs9,Masaya,Case File nº221: Kabukicho,metal,N/A,N/A,0,789,N/A,N/A,0,N/A,false,false,N/A,N/A,50,43,55,253,"Bli, Dru"
nltouw,Aiha,Noragami,wood,N/A,N/A,1,1717,N/A,N/A,0,N/A,false,false,N/A,N/A,45,72,59,232,"Vis, Gra"
nltkxm,Sunao Sumeragi,Tsugumomo,wind,N/A,N/A,0,849,N/A,N/A,0,N/A,false,false,N/A,N/A,44,40,43,267,"Vis, Eth"
nltf2p,Viper,Azure Striker Gunvolt,wind,N/A,N/A,0,741,N/A,N/A,0,N/A,false,false,N/A,N/A,50,51,40,289,"Tim, Ref"
nlsw9r,Martha,Fate/Grand Order,wind,N/A,N/A,2,1669,N/A,N/A,0,N/A,false,false,N/A,N/A,48,48,58,257,"Out, Tim"
nlrk9u,Mineko,Summoned To Another World For A Second Time,earth,N/A,N/A,1,1774,N/A,N/A,0,N/A,false,false,N/A,N/A,54,50,40,269,"Alm, Vis"
nlrfu8,Justice,Guilty Gear,wind,N/A,N/A,2,1975,N/A,N/A,0,N/A,false,false,N/A,N/A,51,56,58,312,"Out, Ven"
nlr9ix,Himura Takamine,Shinobi no Ittoki,ice,N/A,N/A,0,577,N/A,N/A,0,N/A,false,false,N/A,N/A,45,60,44,283,"Tau, Hyp"
nlr2lr,Deidara,Naruto,fire,N/A,N/A,34,698,N/A,N/A,0,N/A,false,false,N/A,N/A,46,47,48,231,"Spi, Hol"
nlqkdg,Zoe Park,Lookism,earth,N/A,N/A,15,667,N/A,N/A,0,N/A,false,false,N/A,N/A,43,80,54,237,"Mys, Tim"
nlqftq,Carol,The Promised Neverland,metal,N/A,N/A,0,1020,N/A,N/A,0,N/A,false,false,N/A,N/A,49,59,40,320,"Ser, Hel"
nlqawk,Iori,Echocalypse,ice,N/A,N/A,4,852,N/A,N/A,0,N/A,false,false,N/A,N/A,42,46,52,313,"Ref, Alm"
nlq3oe,Wild Hunt,Triage X,wood,N/A,N/A,0,1335,N/A,N/A,0,N/A,false,false,N/A,N/A,53,56,51,262,"Hyp, Cos"
nlq1vm,Suzanna Julia von Wincott,King From Now On!,light,N/A,N/A,1,349,N/A,N/A,0,N/A,false,false,N/A,N/A,44,48,52,289,"Sha, Ven"
nlpzcm,Chiyo Shirayuki,THE iDOLM@STER Cinderella Girls,earth,N/A,N/A,0,533,N/A,N/A,0,N/A,false,false,N/A,N/A,42,53,58,293,"Har, Vor"
nlpsh5,Sasha,Sword Art Online,ice,N/A,N/A,1,1719,N/A,N/A,0,N/A,false,false,N/A,N/A,60,59,57,262,"Bod, Pur"
nlplnk,Kinderella,One Piece,fire,N/A,N/A,4,205,N/A,N/A,0,N/A,false,false,N/A,N/A,42,58,44,259,"Und, Hol"
nlpidr,Chongyun,Genshin Impact,wind,N/A,N/A,157,589,N/A,N/A,0,N/A,false,false,N/A,N/A,57,52,49,250,"Hyp, Eth"
nlp72y,Belec Seymour,What's Wrong With Being A Villainess?,earth,N/A,N/A,1,635,N/A,N/A,0,N/A,false,false,N/A,N/A,58,44,41,235,"Pur, Har"
nloqe8,Mela,Love Nikki,ice,N/A,N/A,2,1640,N/A,N/A,0,N/A,false,false,N/A,N/A,56,50,50,276,"Tim, Pur"
nlopbq,Aoyama,Zoku Sayonara Zetsubou Sensei,wind,N/A,N/A,0,683,N/A,N/A,0,N/A,false,false,N/A,N/A,44,46,46,288,"Ato, Pur"
nloln0,Meguru Bachira,Blue Lock,earth,💰,trade,475,1692,N/A,N/A,0,N/A,false,false,N/A,N/A,50,60,41,260,"Mys, Tau"
nlmwqs,Kaname Sengoku,Welcome to the Ballroom,ice,N/A,N/A,3,1207,N/A,N/A,0,N/A,false,false,N/A,N/A,44,58,57,271,"Gra, Bod"
nlmjfl,Natsuki,Doki Doki Literature Club,earth,💰,trade,135,1683,N/A,N/A,0,N/A,false,false,N/A,N/A,58,60,56,258,"Pur, Alm"
nlmhj2,Kasumi,Illusion Connect,earth,N/A,N/A,0,1704,N/A,N/A,0,N/A,false,false,N/A,N/A,55,42,44,233,"Ven, Spi"
nlmel4,Kao Akebi,Akebi's Sailor Uniform,wind,N/A,N/A,5,892,N/A,N/A,0,N/A,false,false,N/A,N/A,48,56,42,277,"Und, Hyp"
nlmd5h,Master,Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,wood,N/A,N/A,0,574,N/A,N/A,0,N/A,false,false,N/A,N/A,60,69,59,270,"Out, Und"
nlmboq,Mikari Tachibana,2.5 Dimensional Seduction,wood,N/A,N/A,4,871,N/A,N/A,0,N/A,false,false,N/A,N/A,52,55,40,239,"Har, Out"
nlm8xt,Kurumi Nanase,Menhera Shoujo Kurumi-chan,light,N/A,N/A,10,1701,N/A,N/A,0,N/A,false,false,N/A,N/A,60,42,52,310,"Mys, Har"
nllzvg,Rose,Kemono Michi: Rise Up,wood,N/A,N/A,0,1039,N/A,N/A,0,N/A,false,false,N/A,N/A,40,56,46,259,"Bod, Vor"
nllxzd,Grand Admiral Thrawn,Star Wars Rebels,ice,N/A,N/A,3,1094,N/A,N/A,0,N/A,false,false,N/A,N/A,50,47,40,262,"Tau, Tem"
nllo0e,Ookami,Polar Bear Cafe,ice,N/A,N/A,0,950,N/A,N/A,0,N/A,false,false,N/A,N/A,47,48,54,242,"Rot, Hyp"
nllljd,Fabian,Blush Blush,light,N/A,N/A,0,569,N/A,N/A,0,N/A,false,false,N/A,N/A,54,44,43,260,"Hol, Hel"
nllj7f,Eho,Alchemy Stars,wood,N/A,N/A,0,343,N/A,N/A,0,N/A,false,false,N/A,N/A,53,55,55,244,"Tau, Ref"
nlldx0,Kayo Zenna,Hyouka,fire,N/A,N/A,3,812,N/A,N/A,0,N/A,false,false,N/A,N/A,41,50,44,237,"Spi, Und"
nllav1,Torche,Shironeko Project,metal,N/A,N/A,0,1616,N/A,N/A,0,N/A,false,false,N/A,N/A,51,49,50,277,"Cos, Ser"
nlkrmz,Hiromi Fukuda,Cross Game,fire,N/A,N/A,0,1235,N/A,N/A,0,N/A,false,false,N/A,N/A,56,81,58,269,"Dru, Hel"
nlkduu,Travis,The Quarry,metal,N/A,N/A,2,905,N/A,N/A,0,N/A,false,false,N/A,N/A,44,47,92,230,"Bod, Ven"
nlj0dy,Mila Babicheva,Yuri!!! On ICE,earth,N/A,N/A,0,1690,N/A,N/A,0,N/A,false,false,N/A,N/A,67,58,54,268,"Mys, Out"
nlis1n,Miyako Inoue,Digimon Adventure 02,fire,N/A,N/A,1,1142,N/A,N/A,0,N/A,false,false,N/A,N/A,48,47,57,242,"Vor, Mys"
nlij7w,Chase,Tinker Bell,void,N/A,N/A,0,1342,N/A,N/A,0,N/A,false,false,N/A,N/A,42,57,57,260,"Nec, Tau"
nli8t0,Jingzhai,Honkai Star Rail,earth,N/A,N/A,0,1566,N/A,N/A,0,N/A,false,false,N/A,N/A,41,43,56,235,"Spi, Ref"
nlhz4t,Michael,Girls x Battle 2,ice,N/A,N/A,2,804,N/A,N/A,0,N/A,false,false,N/A,N/A,53,53,57,256,"Tem, Mys"
nlhww3,Cole,Fortnite,light,N/A,N/A,3,516,N/A,N/A,0,N/A,false,false,N/A,N/A,54,53,42,268,"Dra, Tim"
nlhu7y,Akira Komi,Komi Can't Communicate,void,N/A,N/A,1,524,N/A,N/A,0,N/A,false,false,N/A,N/A,60,55,49,232,"Spi, Sha"
nlhont,Ayumi Uesaka,My First Girlfriend is a Gal,metal,N/A,N/A,0,1220,N/A,N/A,0,N/A,false,false,N/A,N/A,86,66,49,299,"Vis, Und"
nlhni5,Flamberge,The Mystic Archives of Dantalian,light,N/A,N/A,0,707,N/A,N/A,0,N/A,false,false,N/A,N/A,42,76,60,272,"Dru, Ato"
nlhk4k,Olivia Grace,The Villainess Is a Marionette,light,N/A,N/A,1,584,N/A,N/A,0,N/A,false,false,N/A,N/A,53,56,70,270,"Out, Tem"
nlhitf,Shuusuke Wakatsuki,Myself; Yourself,metal,N/A,N/A,0,85,N/A,N/A,0,N/A,false,false,N/A,N/A,52,58,60,279,"Nec, Ato"
nlheyg,Monsoon,Metal Gear Rising: Revengeance,wind,N/A,N/A,24,556,N/A,N/A,0,N/A,false,false,N/A,N/A,45,66,40,280,"Rot, Ven"
nlhch3,Mariano Guzman,Encanto,metal,N/A,N/A,1,840,N/A,N/A,0,N/A,false,false,N/A,N/A,45,60,47,256,"Nec, Spi"
nlgru0,Einsatz,Technoroid UNISON HEART,ice,N/A,N/A,1,914,N/A,N/A,0,N/A,false,false,N/A,N/A,42,61,43,261,"Und, Tem"
nlgkqp,Uno,Eureka Seven,metal,N/A,N/A,1,619,N/A,N/A,0,N/A,false,false,N/A,N/A,49,49,41,260,"Und, Ser"
nlggsk,Lin Sai,Magi: The Kingdom of Magic,wind,N/A,N/A,1,852,N/A,N/A,0,N/A,false,false,N/A,N/A,56,58,49,288,"Hel, Har"
nlgfyn,Ennard,Five Nights at Freddy's,ice,N/A,N/A,12,22,N/A,N/A,0,N/A,false,false,N/A,N/A,46,59,59,245,"Vor, Ven"
nlg9ai,Chansey,Pokemon Generation I,void,N/A,N/A,1,1209,N/A,N/A,0,N/A,false,false,N/A,N/A,45,56,57,235,"Ven, Ato"
nlg0ve,Mimi Futagawa,Tokyo 7th Sisters,void,N/A,N/A,0,660,N/A,N/A,0,N/A,false,false,N/A,N/A,47,58,42,261,"Eth, Pur"
nlfqk5,Rina Mamiya,Higurashi: When They Cry,fire,N/A,N/A,0,684,N/A,N/A,0,N/A,false,false,N/A,N/A,63,44,48,230,"Har, Nec"
nlefcq,Stoick the Vast,How to Train Your Dragon,ice,N/A,N/A,5,948,N/A,N/A,0,N/A,false,false,N/A,N/A,58,51,55,260,"Dru, Gra"
nle987,Twelfth,Shadow Fight,wood,N/A,N/A,0,1566,N/A,N/A,0,N/A,false,false,N/A,N/A,45,44,40,248,"Alm, Cos"
nle5km,Otsuu Tsurugaya,Okami-San and Her Seven Companions,light,N/A,N/A,0,1866,N/A,N/A,0,N/A,false,false,N/A,N/A,43,44,54,247,"Rot, Bod"
nle2sp,Samuel Marslink,Atelier Ryza: Ever Darkness & the Secret Hideout,fire,N/A,N/A,0,926,N/A,N/A,0,N/A,false,false,N/A,N/A,48,58,45,269,"Bod, Sha"
nldzrc,Chankus,Shironeko Project,ice,N/A,N/A,0,758,N/A,N/A,0,N/A,false,false,N/A,N/A,51,49,49,247,"Out, Bli"
nldylh,Noriko Osashi,High School Fleet,ice,N/A,N/A,0,1289,N/A,N/A,0,N/A,false,false,N/A,N/A,47,59,59,254,"Pur, Nec"
nldx7t,Taizou Motemitsu,To LOVE Ru,wind,N/A,N/A,1,530,N/A,N/A,0,N/A,false,false,N/A,N/A,48,41,59,260,"Rot, Vor"
nldu14,Titus,AFK Arena,light,N/A,N/A,0,1198,N/A,N/A,0,N/A,false,false,N/A,N/A,50,50,49,263,"Sha, Pur"
nldr3i,Chizuru Ooshima,My Little Monster,wind,N/A,N/A,0,997,N/A,N/A,0,N/A,false,false,N/A,N/A,54,58,45,256,"Mys, Bod"
nldoon,Cat Blanc,Miraculous Ladybug: Tales of Ladybug & Cat Noir,void,N/A,N/A,12,1064,N/A,N/A,0,N/A,false,false,N/A,N/A,52,51,62,283,"Eth, Dra"
nldjwd,Thancred Waters,Final Fantasy XIV,light,N/A,N/A,20,1364,N/A,N/A,0,N/A,false,false,N/A,N/A,86,52,51,246,"Gra, Alm"
nldhnb,Ocellus,My Little Pony: Friendship Is Magic,fire,N/A,N/A,1,377,N/A,N/A,0,N/A,false,false,N/A,N/A,42,58,54,253,"Ven, Tim"
nldedg,Odile,Neural Cloud,wood,N/A,N/A,0,834,N/A,N/A,0,N/A,false,false,N/A,N/A,51,60,44,253,"Hol, Ven"
nldceg,Luxia,Azure Striker Gunvolt,void,N/A,N/A,0,1581,N/A,N/A,0,N/A,false,false,N/A,N/A,41,41,45,247,"Tau, Sha"
nld9jx,Leona,NIKKE,void,N/A,N/A,3,1620,N/A,N/A,0,N/A,false,false,N/A,N/A,49,44,48,265,"Sha, Out"
nld4u2,Haruya Nanjou,The Dangers in My Heart,wind,N/A,N/A,1,570,N/A,N/A,0,N/A,false,false,N/A,N/A,54,42,40,291,"Hyp, Eth"
nlczgy,Lumituber,Independent VTubers,wind,N/A,N/A,1,717,N/A,N/A,0,N/A,false,false,N/A,N/A,67,50,40,268,"Ser, Pur"
nlctgg,Diego Kanon Ijaysica,The Misfit of Demon King Academy,fire,N/A,N/A,0,711,N/A,N/A,0,N/A,false,false,N/A,N/A,45,70,60,254,"Eth, Dra"
nlcsim,Stella Barklem,The Ancient Magus' Bride,ice,N/A,N/A,1,258,N/A,N/A,0,N/A,false,false,N/A,N/A,54,59,41,279,"Hyp, Cos"
nlcqlc,Elena  Baburin,Jormungand,wood,N/A,N/A,0,1651,N/A,N/A,0,N/A,false,false,N/A,N/A,46,89,53,248,"Gra, Hol"
nlcnyl,Abyss Watchers,Dark Souls 3,fire,N/A,N/A,5,1134,N/A,N/A,0,N/A,false,false,N/A,N/A,60,54,49,256,"Cos, Ato"
nlce7y,Conrad,Berserk,light,N/A,N/A,2,522,N/A,N/A,0,N/A,false,false,N/A,N/A,57,58,59,253,"Gra, Hol"
nlcd6u,Kafma Irulux,Re:ZERO -Starting Life in Another World-,metal,N/A,N/A,0,633,N/A,N/A,0,N/A,false,false,N/A,N/A,54,58,60,232,"Dru, Hel"
nlbbvt,koko,Virtual Witch Phenomenon,light,N/A,N/A,4,554,N/A,N/A,0,N/A,false,false,N/A,N/A,54,58,60,232,"Nec, Tem"
nla6uj,Momose Amane,MILGRAM,earth,N/A,N/A,12,615,N/A,N/A,0,N/A,false,false,N/A,N/A,40,42,56,296,"Rot, Bli"
nla39y,Kyousuke Karasuma,World Trigger,light,N/A,N/A,0,757,N/A,N/A,0,N/A,false,false,N/A,N/A,44,47,51,300,"Dra, Har"
nl9ybb,Neumann,Neural Cloud,ice,N/A,N/A,1,662,N/A,N/A,0,N/A,false,false,N/A,N/A,53,55,57,279,"Out, Roc"
nl9wpx,Kawaru Shinon,Blue Archive,fire,🏫,ba,0,1256,N/A,N/A,0,N/A,false,false,N/A,N/A,77,52,44,280,"Pur, Mys"
nl9wlk,Anais Watterson,The Amazing World of Gumball,void,N/A,N/A,8,1332,N/A,N/A,0,N/A,false,false,N/A,N/A,57,44,42,244,"Tem, Dra"
nl9a3j,Korouka,Onmyoji,void,N/A,N/A,0,1692,N/A,N/A,0,N/A,false,false,N/A,N/A,48,40,58,235,"Cos, Vis"
nl98x4,Chun-Li,Street Fighter,light,N/A,N/A,49,572,N/A,N/A,0,N/A,false,false,N/A,N/A,76,43,53,259,"Spi, Vor"
nl93kd,Ritsu Natsume,KADO: The Right Answer,fire,N/A,N/A,0,293,N/A,N/A,0,N/A,false,false,N/A,N/A,41,40,41,260,"Out, Ref"
nl90s8,Tetsuko Murata,Gintama,light,N/A,N/A,0,789,N/A,N/A,0,N/A,false,false,N/A,N/A,61,46,49,292,"Ser, Alm"
nl8n3o,Mustard,Pokemon People,metal,N/A,N/A,0,956,N/A,N/A,0,N/A,false,false,N/A,N/A,56,52,66,290,"Nec, Und"
nl8k2j,Koishi Komeiji,Touhou,earth,N/A,N/A,26,645,N/A,N/A,0,N/A,false,false,N/A,N/A,42,51,41,306,"Tem, Ato"
nl8fpc,Toby Flenderson,The Office,wind,N/A,N/A,3,654,N/A,N/A,0,N/A,false,false,N/A,N/A,57,72,55,241,"Mys, Har"
nl87i4,Ryunosuke Minakata,Summertime Rendering,earth,N/A,N/A,0,1495,N/A,N/A,0,N/A,false,false,N/A,N/A,40,56,43,251,"Nec, Roc"
nl84mg,Ulga,CHOYOYU!: High School Prodigies Have It Easy Even in Another World!,wood,N/A,N/A,0,708,N/A,N/A,0,N/A,false,false,N/A,N/A,53,58,48,260,"Hel, Ref"
nl7y3l,Melissa Kinrenka,Nijisanji,earth,N/A,N/A,3,684,N/A,N/A,0,N/A,false,false,N/A,N/A,53,42,66,231,"Dra, Gra"
nl7v9b,Chen,Touhou,earth,N/A,N/A,6,1846,N/A,N/A,0,N/A,false,false,N/A,N/A,59,59,42,266,"Har, Out"
nl5yd6,Kazane Aoba,Keijo!!!!!!!!,ice,N/A,N/A,1,1620,N/A,N/A,0,N/A,false,false,N/A,N/A,54,59,78,285,"Alm, Roc"
nl5x8w,Shion Yorigami,Touhou,wood,N/A,N/A,10,874,N/A,N/A,0,N/A,false,false,N/A,N/A,40,74,47,319,"Ven, Bli"
nl5vw7,Mirei Shikishima,Valkyrie Drive: Mermaid,light,N/A,N/A,6,1807,N/A,N/A,0,N/A,false,false,N/A,N/A,49,55,55,271,"Vis, Mys"
nl5k7c,MPL,Girls Frontline,void,N/A,N/A,1,515,N/A,N/A,0,N/A,false,false,N/A,N/A,47,56,43,258,"Cos, Ven"
nl52v6,Lucia - Crimson Weave,Punishing: Gray Raven,wind,N/A,N/A,9,1689,N/A,N/A,0,N/A,false,false,N/A,N/A,66,59,46,290,"Tau, Hol"
